,frame,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,input
0,0.0,145.2718963623047,36.7991943359375,432.2054443359375,502.38323974609375,0.7012612819671631,219.38175228238106,220.43316462635994,225.23676842451096,233.99178385734558,247.0859014391899,263.8954289853573,283.9598245024681,305.89676597714424,333.77139687538147,357.1252609491348,379.5289932489395,398.2973903417587,415.2502852678299,433.191702067852,450.8370108604431,461.2577421069145,468.0005099773407,256.46310871839523,271.54817524552345,283.89585131406784,295.6346065700054,302.49938133358955,288.2708069086075,298.3044354021549,312.80274590849876,329.134794652462,350.589895516634,303.00001484155655,300.6197822391987,296.95532190799713,292.4411751329899,284.3644982278347,291.02431440353394,298.2334245443344,306.1483123898506,312.2645266056061,274.90161699056625,277.43893656134605,284.19370713829994,289.3281896710396,285.93284672498703,279.33587461709976,330.2877969145775,330.1282506287098,335.917576700449,350.59090089797974,343.80618542432785,338.5072998404503,284.5270915925503,280.65156304836273,280.58508414030075,282.0495999455452,286.0204231739044,291.5961753129959,297.0768647789955,302.109633654356,305.00610637664795,300.2372578382492,294.5409836769104,289.5636654496193,290.7574861943722,281.50721991062164,284.07071033120155,287.9165414571762,289.91986432671547,302.7592028081417,300.0529637038708,295.8730520904064,199.98313915729523,226.60876739025116,254.24726724624634,278.4197554588318,295.6540777683258,311.53066635131836,327.64646673202515,337.65604853630066,338.53010511398315,331.20053601264954,317.6291527748108,297.9536793231964,278.4535667896271,257.0225713253021,231.21264481544495,203.9826693534851,177.94135749340057,182.736208319664,176.41968595981598,180.78458058834076,188.85573589801788,196.85572576522827,174.0761970281601,162.64671444892883,153.62387120723724,147.01267838478088,150.59895598888397,188.65732669830322,202.9446884393692,218.97719979286194,236.8399144411087,252.54374194145203,255.05741906166077,254.91234016418457,251.4167604446411,248.76024055480957,194.54573833942413,189.89412093162537,190.0284502506256,193.57892286777496,197.34752571582794,198.0037214756012,181.15511775016785,170.98268926143646,166.1703131198883,164.97139835357666,171.44523096084595,177.01671862602234,282.3520805835724,278.1718416213989,272.3797585964203,272.26267170906067,267.8535394668579,271.01545119285583,276.9617462158203,290.04670429229736,296.4666543006897,299.4168882369995,299.4656250476837,295.0043075084686,283.9372527599335,292.0114254951477,290.3292646408081,287.34082794189453,280.3652136325836,272.46691370010376,277.08403277397156,277.68794894218445,0.25255160528353915,0.2475311124116189,0.36358670091029727,0.13582145281177227,0.411249274419259,0.4894158881148154,0.4283830737924529,0.591112932862991,0.38702755610544065,0.41046741933468395,0.5611916603368611,0.3083641913871956,0.44465052786326725,0.22223479629437706,0.30625174167795505,0.5775242288960637,0.49269877912860544,0.237203329812932,0.19584994398559225,0.2029865676580896,0.005440992768853903,0.00488112261518836,0.18714462220668793,0.07459957897663116,0.08499488979578018,0.607958197593689,0.03498058766126633,/Users/suhwan/Dropbox/github/experiment/SEP_data_repo/behave_task/MR_cam/fMRI_FACE_TEST_210707_Suhwan_SESS01_RUN01.mp4
1,1.0,146.77308654785156,44.45411682128906,427.0093994140625,497.1400146484375,0.761349618434906,195.84935455024242,191.0402134656906,190.3095946162939,194.19261398911476,205.3409325182438,223.58888302743435,245.67900943756104,271.0268365442753,302.66376331448555,332.50515204668045,363.492313683033,394.0141211748123,422.88589215278625,450.57120728492737,476.3134953379631,493.34575057029724,505.8209659457207,248.68644353747368,269.50753277540207,287.09961035847664,303.0910182893276,313.1117114722729,309.7690597176552,324.5306533575058,342.87777331471443,361.5103312730789,380.7327995300293,313.4330012202263,307.2442558705807,299.6855762898922,291.6437313556671,274.97419795393944,283.1640976071358,291.1646174788475,301.5664399564266,310.522542655468,267.0530105829239,275.12239027023315,285.82085728645325,291.7977944910526,284.6531146764755,273.88551265001297,341.6295056939125,347.20250302553177,357.25329944491386,372.1562972664833,362.5590674877167,353.25907850265503,262.6874756217003,266.2821292281151,271.95670396089554,275.63854840397835,282.93152755498886,290.2664738893509,295.83633705973625,293.6556488275528,291.4106414914131,283.92204481363297,276.4599432647228,269.4099609851837,270.33278036117554,270.4380576014519,275.66664883494377,282.47507137060165,287.6048677265644,292.6437886953354,287.06813114881516,280.56149011850357,160.1228806078434,193.71611747145653,228.78236252069473,259.69159841537476,282.95831793546677,304.99694752693176,328.12781405448914,346.2056357860565,353.7863911986351,351.43419367074966,340.59048438072205,321.6034113764763,299.8425344824791,273.20085167884827,240.8577660024166,207.21160060167313,174.12354147434235,139.4358034580946,131.8652205169201,137.48875546455383,148.77268654108047,161.71064430475235,150.44308423995972,141.19620871543884,136.39999076724052,136.0478291809559,146.60311821103096,169.49878346920013,188.9607214331627,209.93498441576958,232.8961469233036,246.74426692724228,251.68414050340652,254.91853752732277,252.91827714443207,251.7534532546997,161.0072320997715,156.7373025715351,159.86634421348572,170.10641205310822,172.2688906788826,169.87218776345253,170.02668258547783,159.0130052268505,156.96273404359818,161.937990128994,167.52061074972153,170.19470989704132,281.82647371292114,278.3246614933014,274.64062935113907,277.2281733751297,275.05085521936417,282.67861127853394,293.41728204488754,305.7643254995346,309.65040761232376,309.5105146765709,306.8322699666023,299.1233981847763,284.1925073862076,296.0429282784462,297.1581638455391,296.5762799978256,296.05903524160385,283.4507685303688,285.2700632214546,282.8407371044159,0.321315432692799,0.21310574427805568,0.49716443049470554,0.1780980422400081,0.22825268401519164,0.39826762360820167,0.29927098021791093,0.2379025979865107,0.37921505610544065,0.12110304659474447,0.43710581082764133,0.41663011203957384,0.4983443175763409,0.07161339029300783,0.35227052714404916,0.6642020295646228,0.20866246929193782,0.11184859066617932,0.2576538203258829,0.17693853156114528,0.011907578445971012,0.007465648464858532,0.2061081826686859,0.06590641289949417,0.10315952450037003,0.5616813898086548,0.04377125948667526,/Users/suhwan/Dropbox/github/experiment/SEP_data_repo/behave_task/MR_cam/fMRI_FACE_TEST_210707_Suhwan_SESS01_RUN01.mp4
2,2.0,148.5295867919922,42.53582763671875,429.9207763671875,501.89752197265625,0.7324008941650391,214.46356430649757,216.81935539841652,223.04345974326134,232.69266425073147,247.0575956404209,265.1515152454376,286.1349213421345,308.8125692009926,336.492128431797,359.45320278406143,382.1781988143921,402.2788766026497,420.1016651391983,439.27953892946243,458.22564858198166,469.9548676609993,478.3478972911835,250.3201666176319,265.99635577201843,280.01389518380165,293.75303104519844,302.38238552212715,290.3411738872528,302.0041702389717,317.9533702135086,335.54305413365364,357.43829387426376,305.43151223659515,302.9094093441963,298.8455711007118,294.18472680449486,284.97448283433914,291.85471296310425,299.02710580825806,307.4666361808777,313.8858032822609,271.5929312109947,275.43577536940575,283.60321938991547,289.44234442710876,285.0866208076477,276.73915204405785,333.117820084095,333.62985211610794,340.6929420232773,355.55330353975296,348.588114798069,342.1564057469368,288.8888654112816,284.8751641511917,283.4568915069103,284.7631802558899,288.45451951026917,293.879698574543,299.3249231874943,304.56436121463776,308.00818955898285,303.6101561188698,298.36484771966934,294.1767917871475,295.24091613292694,284.8641937971115,287.02717167139053,290.6601769924164,292.3754195868969,305.47214260697365,303.15434715151787,299.1517857313156,197.1292608976364,225.52918940782547,254.53499391674995,279.1182550787926,296.08692079782486,310.92878073453903,326.0184019804001,334.1865944862366,334.24691021442413,326.1986595392227,311.6784569621086,291.4137250185013,270.7150328159332,248.5061663389206,221.89986154437065,194.38473612070084,167.79791325330734,175.5163238942623,167.36457630991936,171.23634740710258,179.93512734770775,189.09234926104546,170.97749903798103,159.81919541954994,151.55128568410873,146.48121029138565,151.5129053592682,186.18574917316437,201.98038011789322,219.38958406448364,238.60835269093513,251.87229588627815,254.90399673581123,255.21187484264374,251.70396089553833,249.07972276210785,187.82984346151352,182.59810388088226,183.3928444981575,189.32029709219933,193.30946370959282,193.29559162259102,180.07815837860107,169.25636559724808,164.87793177366257,165.05777820944786,172.10229188203812,177.29419231414795,281.52523458004,278.05851250886917,272.85149335861206,272.9129230976105,269.19934153556824,272.2913846373558,278.43799233436584,290.36748319864273,296.0378247499466,298.40072125196457,298.18107545375824,294.03379887342453,282.84151792526245,290.5451148748398,289.2509260773659,286.775806248188,281.387574672699,274.12852108478546,278.20696771144867,278.42404067516327,0.2668283017250921,0.22175353428616207,0.390011977888484,0.18007193529508425,0.2987972056980599,0.43953194310760363,0.3112596149766205,0.5131874884997333,0.3832329132482978,0.40857735362302794,0.5284406583347653,0.2791838393575461,0.34864469092989064,0.14722847635990421,0.4196935691292163,0.6553875644202034,0.4388896986081863,0.2780330475124349,0.29501812239194347,0.11759124211291702,0.005902567878365517,0.004951512441039085,0.18130308389663696,0.06358207762241364,0.06489265710115433,0.6553522944450378,0.024015825241804123,/Users/suhwan/Dropbox/github/experiment/SEP_data_repo/behave_task/MR_cam/fMRI_FACE_TEST_210707_Suhwan_SESS01_RUN01.mp4
3,3.0,150.23866271972656,44.815277099609375,427.6732177734375,479.0746154785156,0.6259760856628418,221.67790699005127,222.71099478006363,228.75727200508118,239.72775411605835,256.692553460598,276.97568452358246,300.4755710363388,325.25982826948166,352.7771626710892,371.6448588371277,386.4710112810135,396.86016035079956,404.5569179058075,417.87411665916443,434.00429332256317,442.02135848999023,445.83490324020386,261.5124860405922,277.439356982708,290.3032691478729,302.4265522956848,309.2709178328514,297.02154898643494,303.314850628376,314.3744245171547,327.73610788583755,345.9444697499275,315.0115931034088,314.4348249435425,312.93458741903305,311.1755456328392,297.97519558668137,305.7213855981827,314.529461979866,322.9204797744751,328.4224025607109,283.264252781868,287.05243027210236,294.33955866098404,300.22240394353867,295.90816217660904,288.42834371328354,334.4335700273514,332.8980236053467,338.0506716966629,350.185719370842,345.8768084049225,341.59787553548813,308.1124796271324,306.8089302778244,305.8669562935829,306.6391871571541,309.0959664583206,311.7057458758354,313.5349612236023,321.2058000564575,327.22565305233,322.92820024490356,317.8890001773834,313.92335909605026,314.47583228349686,306.65847301483154,308.38376837968826,310.9277246594429,308.56780356168747,323.5336597561836,321.9205256700516,318.16298496723175,200.438390314579,227.88480931520462,256.898306787014,281.01470428705215,297.3318366408348,309.80390524864197,322.5151208639145,326.93047070503235,324.24361073970795,313.34059166908264,295.1769754886627,271.64938670396805,249.57844269275665,229.17029535770416,206.26287683844566,182.96648329496384,161.68138709664345,170.36039569973946,164.29264453053474,170.2580217719078,180.87017360329628,191.54423850774765,172.55824229121208,161.98732084035873,152.60040253400803,145.35437241196632,147.1362565755844,185.65091317892075,200.67502623796463,217.30269598960876,235.56009981036186,248.06479901075363,251.55045372247696,251.2593164741993,246.9585719704628,243.00905522704124,181.29815143346786,176.94613221287727,178.29494887590408,184.58923763036728,185.91041886806488,185.17784383893013,176.89736858010292,167.0326827764511,162.08367356657982,160.68397369980812,166.60925459861755,171.90264683961868,277.87709122896194,274.35093516111374,268.6298485994339,268.6792062520981,263.91883885860443,264.5685616135597,267.04721760749817,278.19761896133423,284.72109138965607,288.1454540491104,288.85150068998337,286.2163204550743,279.5372688174248,283.74684476852417,281.8827833533287,278.4497804045677,269.6689243912697,265.2963169813156,269.9437665939331,271.15637719631195,0.33746527439955754,0.24791925687234898,0.4940002439876934,0.1843191064290123,0.2508899798130636,0.4224918556045586,0.30739932661327946,0.2549558524848011,0.37921505610544065,0.22106262170957075,0.407014656512248,0.2648512078361859,0.4157142570840017,0.09689713701692136,0.3695025192056122,0.6864911648665796,0.22197236979431711,0.1497708578745689,0.38220736668667205,0.28695257698479876,0.0009306221618317068,0.0028223837725818157,0.17640408873558044,0.030405228957533836,0.038878459483385086,0.7356603145599365,0.014898943714797497,/Users/suhwan/Dropbox/github/experiment/SEP_data_repo/behave_task/MR_cam/fMRI_FACE_TEST_210707_Suhwan_SESS01_RUN01.mp4
4,4.0,72.81574249267578,94.50825500488281,490.45050048828125,520.0787353515625,0.919344425201416,276.75251668691635,259.7692642211914,244.82944014668465,230.6573389172554,218.02094668149948,208.15006640553474,201.96589177846909,203.14205104112625,224.72554948925972,255.4118367433548,294.63089579343796,336.65062659978867,380.02658116817474,424.72874289751053,466.36218988895416,502.73441129922867,535.7486000657082,323.54885417222977,341.62432473897934,356.48858070373535,366.1622817516327,371.67220628261566,389.50392800569534,416.66129863262177,442.86909145116806,465.2340220808983,485.2560077905655,358.4726604819298,342.1331675648689,324.37474954128265,306.15923660993576,280.699085354805,286.7812035381794,294.0039701163769,306.3081610798836,320.7895035147667,301.3393779397011,315.92060017585754,326.5894129872322,330.84811919927597,319.9162837266922,309.64374271035194,401.0143290758133,415.41948902606964,424.919269323349,440.0410361289978,422.62624675035477,412.59494441747665,247.8432297706604,256.57272440195084,265.90148028731346,268.6502110362053,278.1863096654415,282.886189699173,280.7520795762539,265.18815594911575,253.51134705543518,242.47910517454147,233.64063799381256,239.4556786417961,252.96836254000664,254.28558227419853,260.15970823168755,268.89364391565323,274.4395532608032,266.4910519719124,257.8185713291168,251.1700170636177,129.0141463279724,147.46562629938126,167.43783116340637,190.0531017780304,209.5085871219635,232.94211745262146,258.90118539333344,282.4474811553955,300.5469524860382,313.89492988586426,324.02369141578674,327.02343463897705,325.32986283302307,314.4484305381775,294.0763771533966,269.3908488750458,241.326162815094,119.10510152578354,119.19693857431412,128.78283262252808,140.26369035243988,150.88034480810165,157.6503074169159,159.08023416996002,163.2033133506775,170.5720567703247,188.1861698627472,158.85436534881592,167.99317181110382,178.34827780723572,190.31908750534058,207.30551183223724,211.8108344078064,216.85398638248444,223.66700112819672,231.59755647182465,131.33066296577454,133.29569041728973,139.8191624879837,149.4176423549652,144.2680460214615,138.18169802427292,177.56028413772583,177.56703078746796,183.15807580947876,193.36912393569946,187.02634692192078,182.60732889175415,239.85431671142578,237.2687727212906,237.28012561798096,243.83341312408447,246.76774263381958,265.715389251709,285.01956939697266,283.81120562553406,278.17371010780334,272.4773097038269,264.9672621488571,254.49281930923462,242.32291460037231,251.1146628856659,256.7631983757019,260.9293234348297,282.9354679584503,259.0394103527069,255.75049996376038,248.73497307300568,0.3338692574571965,0.28819200052011185,0.6537978510797067,0.16563413733115032,0.2344908730794562,0.5840261223378805,0.5819847918168515,0.3531518473316007,0.38702755610544065,0.10178547771604915,0.294737436656704,0.5286581396053556,0.49011383950725035,0.18820620282506212,0.2496259217829747,0.5080673313257643,0.33710756380221635,0.2442719599032443,0.285462579893087,0.4673408968124501,0.0029219661373645067,0.021287590265274048,0.3710469603538513,0.004198916722089052,0.1867009699344635,0.3281402289867401,0.08570343255996704,/Users/suhwan/Dropbox/github/experiment/SEP_data_repo/behave_task/MR_cam/fMRI_FACE_TEST_210707_Suhwan_SESS01_RUN01.mp4
5,5.0,132.4813232421875,33.487300872802734,442.1241455078125,514.15869140625,0.6396303176879883,240.97991535067558,234.20469641685486,232.1775096654892,233.95146423578262,241.33205398917198,253.2070164680481,266.8134907782078,280.82543408870697,302.69893738627434,323.5212470293045,347.0636108517647,370.7589077949524,395.1429418325424,423.4293657541275,452.2621331214905,472.6464216709137,488.2993417978287,294.2846248149872,308.8437661230564,316.74360686540604,320.71293663978577,320.4625054895878,304.5958049893379,315.2705494761467,328.9544556736946,344.27561980485916,364.3130552768707,316.7397455573082,309.8093938231468,302.07525700330734,293.443935751915,278.7902082204819,284.8724014759064,291.8458606004715,300.95899081230164,308.672903239727,292.9460960328579,296.9804192185402,302.76780793070793,304.1111633479595,299.5367792546749,293.5427789092064,338.6666583418846,340.8595648407936,346.25097957253456,359.17352759838104,350.88823652267456,346.16699612140656,275.09357541799545,274.0807574689388,274.1479663848877,274.6021131873131,279.9091646671295,284.2666983306408,287.61806055903435,288.4088532924652,288.5499809384346,283.40621215105057,279.15696918964386,277.70641499757767,280.76453936100006,271.88625264167786,273.82510405778885,278.38488164544106,280.95651283860207,291.50445133447647,288.3316429555416,284.7075362801552,143.46481814980507,171.4668369293213,201.39031574130058,229.02663335204124,248.61020281910896,267.96736001968384,288.75850677490234,304.63613986968994,312.51062750816345,313.9779070019722,309.38950926065445,297.22293823957443,283.7020429968834,266.4281037449837,243.18476989865303,215.902518928051,188.59512761235237,128.71478512883186,130.13086184859276,142.55020588636398,156.65083423256874,169.18446242809296,159.13993179798126,152.4742689728737,148.26728850603104,145.48850744962692,153.290543705225,169.7323700785637,187.83741876482964,207.61024594306946,229.01106640696526,232.47981026768684,239.16040271520615,242.98748463392258,241.82424873113632,240.99648863077164,145.4573193192482,145.0719153881073,151.04385927319527,161.68693080544472,158.53998064994812,153.93847033381462,168.61925214529037,159.96899366378784,158.91450941562653,162.3425866663456,164.28639367222786,166.4394187927246,254.26272600889206,255.53034722805023,256.22307628393173,258.88440012931824,256.9887584447861,263.06897938251495,271.0703620314598,282.9508972167969,285.4330384731293,284.7706839442253,281.3157984614372,272.71394938230515,257.9328638315201,272.3914098739624,274.0705245733261,273.40038657188416,274.0518659353256,262.9970568418503,264.5884922146797,261.5512293577194,0.3435294940031319,0.2717084969293788,0.5898249169816118,0.1607677443885559,0.20013165127871396,0.41076342250374925,0.24521405210541447,0.26181710164970723,0.37699127003929,0.16050106858218421,0.41691467154796286,0.28054795800630544,0.34583955603483296,0.07607736968769939,0.34540652387581405,0.795779774518353,0.2113208941998315,0.0970654210283901,0.3609235658686029,0.3317753304744023,0.010130624286830425,0.007721608970314264,0.18930715322494507,0.05218733847141266,0.11349037289619446,0.5785929560661316,0.0485699288547039,/Users/suhwan/Dropbox/github/experiment/SEP_data_repo/behave_task/MR_cam/fMRI_FACE_TEST_210707_Suhwan_SESS01_RUN01.mp4
6,6.0,46.070003509521484,130.4581298828125,528.422119140625,503.162841796875,0.8706326484680176,291.31091022491455,260.8641867637634,231.1672784090042,201.72853469848633,173.75318598747253,152.87198281288147,135.82422399520874,126.52315956354141,141.12388944625854,176.48364341259003,227.66502714157104,283.7257262468338,342.04251289367676,399.96917247772217,455.77572107315063,507.1660737991333,556.4872212409973,357.2969436645508,382.066025018692,398.95941066741943,407.80008268356323,411.51072692871094,441.56417322158813,474.6934905052185,504.63248896598816,524.6008815765381,533.5855944156647,386.64804244041443,359.49748134613037,332.1691823005676,303.57340681552887,269.1798892021179,273.2516975402832,277.86770009994507,290.3939595222473,306.03954339027405,315.742876291275,335.001757144928,345.6572139263153,348.0156168937683,334.1210596561432,322.50134658813477,428.2656879425049,450.5072326660156,461.1144118309021,473.4857220649719,451.98252606391907,440.428551197052,207.19960188865662,230.86452627182007,250.99157619476318,252.14743089675903,263.26370310783386,265.39011430740356,257.92594838142395,227.58344841003418,205.73726892471313,193.06408858299255,185.79083704948425,193.8809379339218,211.1487901210785,231.17836678028107,236.781756401062,246.34839272499084,251.4858547449112,230.72746968269348,221.003112077713,215.82700276374817,91.30350828170776,107.43649482727051,126.03641033172607,149.18965578079224,170.3274416923523,195.8178687095642,225.1086163520813,254.97878074645996,283.4029483795166,308.12626361846924,331.85675621032715,346.6677951812744,355.35502910614014,351.6503858566284,338.2356929779053,319.27159309387207,294.82410430908203,90.31503677368164,97.0973390340805,111.56578540802002,127.7990597486496,143.31254839897156,176.1434304714203,184.55608367919922,196.96633100509644,214.2359185218811,239.71269607543945,165.98241209983826,170.153706073761,175.76039910316467,183.7125825881958,196.13773107528687,202.50405550003052,211.54027462005615,223.15896034240723,236.2298059463501,109.79158163070679,119.99462425708771,131.9521713256836,144.0608310699463,133.8447141647339,122.44786500930786,201.0681915283203,210.63030242919922,222.60960817337036,238.0094575881958,224.81170177459717,213.84268283843994,220.16375541687012,219.68091011047363,223.85709762573242,233.7256956100464,240.8427882194519,266.1322522163391,289.7475051879883,285.47046661376953,273.65599155426025,262.85202980041504,251.09665870666504,236.75488710403442,224.51268911361694,238.13525915145874,247.5438404083252,255.9610652923584,286.2239408493042,255.36972761154175,247.0444369316101,236.53557777404785,0.29727147603472626,0.3813957049014594,0.5082502255500486,0.20932758847163746,0.3016834257518959,0.5613974143519274,0.5490965069349844,0.4800268944684441,0.38702755610544065,0.26638495902237774,0.3742755334080931,0.4504456885713909,0.4621385879607098,0.16917767106602297,0.21713366454925895,0.4648372121268354,0.313310472708999,0.2740785556210129,0.32257500856559673,0.4488787175763568,0.06525545567274094,0.33942845463752747,0.3073303997516632,0.001366139855235815,0.1607346087694168,0.04982483759522438,0.07606017589569092,/Users/suhwan/Dropbox/github/experiment/SEP_data_repo/behave_task/MR_cam/fMRI_FACE_TEST_210707_Suhwan_SESS01_RUN01.mp4
7,7.0,137.20838928222656,42.337501525878906,428.2607421875,480.2892150878906,0.7450371980667114,228.69142481684685,238.80102062225342,251.60810792446136,265.8177133798599,282.52170765399933,300.6286037862301,321.2481991350651,344.1453132927418,370.87807977199554,390.0814356803894,406.10685551166534,417.06881338357925,427.6121338605881,439.40034651756287,449.56809663772583,453.5840135216713,455.73371255397797,248.34216529130936,258.14065316319466,267.670624345541,277.12354758381844,282.947374522686,267.34808200597763,276.9967561364174,290.6970317065716,308.18604016304016,332.5551691055298,292.89371156692505,296.2818258404732,298.0729296207428,299.04539132118225,298.29234743118286,305.23200356960297,311.872047573328,317.6002552509308,321.44712710380554,269.8630374073982,270.47794753313065,276.67040744423866,284.41351094841957,282.55555042624474,276.2404430806637,320.10132053494453,316.45758205652237,320.8513561785221,336.99650728702545,332.34787636995316,328.3231035768986,316.08549574017525,306.04066932201385,302.0775195360184,303.4384440779686,305.69688507914543,309.18572956323624,311.5778993964195,324.7270672917366,335.01692765951157,332.4986877441406,326.68810629844666,323.6341376006603,320.7190086841583,306.643009275198,308.8973676562309,311.1189269423485,306.12666526436806,328.3897607922554,327.1066209077835,322.9682561159134,248.50349873304367,271.3510552048683,293.56514006853104,311.89527213573456,323.152397274971,334.0342342853546,344.5908197760582,348.4080570936203,342.79628187417984,330.8255994319916,315.4593974351883,294.3024545907974,273.8319218158722,252.29971796274185,227.6151806116104,201.9037401676178,177.5515191257,228.69824945926666,221.18633061647415,223.62716794013977,229.06193017959595,233.60132187604904,200.15145540237427,185.8445379137993,173.41985121369362,162.81396135687828,162.80319467186928,216.63120925426483,225.2958956360817,236.0703505575657,249.25456315279007,271.3249385356903,269.4458130002022,265.1966878771782,259.9786424636841,256.36876553297043,237.13248267769814,231.60208135843277,228.303841650486,226.8265277147293,235.052247941494,238.9482420682907,203.68063643574715,193.48809778690338,185.68641409277916,179.11350205540657,188.4857115149498,197.73255825042725,301.07893019914627,293.9205491542816,283.66697669029236,280.317479968071,273.5800030827522,273.83314222097397,277.6259443163872,286.20853811502457,293.2165652513504,299.45215731859207,303.2323756814003,306.10485672950745,300.19508570432663,298.9759010076523,294.3718549609184,288.46712827682495,280.61365872621536,276.10990285873413,283.6809977889061,287.1871131658554,0.4152411092934518,0.3434619606770995,0.39097935652312227,0.28756624415316384,0.24131299179560683,0.42045528508337193,0.3611605359495631,0.42793016277614165,0.38702755610544065,0.31694192261430865,0.31257761017174174,0.5105558121871207,0.4324680836968668,0.18365056051049547,0.28879865987434405,0.46687852486754844,0.42197686061909173,0.3046078330075391,0.15089450863808804,0.24438759684190464,0.004343143664300442,0.00270123896189034,0.16894876956939697,0.054826829582452774,0.05754248797893524,0.6835220456123352,0.028115415945649147,/Users/suhwan/Dropbox/github/experiment/SEP_data_repo/behave_task/MR_cam/fMRI_FACE_TEST_210707_Suhwan_SESS01_RUN01.mp4
8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/suhwan/Dropbox/github/experiment/SEP_data_repo/behave_task/MR_cam/fMRI_FACE_TEST_210707_Suhwan_SESS01_RUN01.mp4
9,9.0,132.87696838378906,51.98575973510742,428.837158203125,466.6252136230469,0.696391224861145,216.819162607193,220.95989102125168,229.9068302810192,242.10838520526886,257.7874422967434,278.02683213353157,299.2479386329651,321.5374637544155,350.6204074025154,374.1778316497803,395.44466042518616,414.24920880794525,429.75714886188507,445.7100638151169,459.89498937129974,467.0305805802345,470.5657305717468,260.97352826595306,276.15946316719055,287.1260561943054,296.01576203107834,302.346186876297,291.0989827811718,304.10392367839813,319.95093607902527,337.54874789714813,361.0022341609001,303.17931765317917,302.352924734354,300.20110765099525,297.82408648729324,292.48899215459824,298.64460104703903,305.68609246611595,313.84560787677765,321.0790284872055,273.47013691067696,277.4406538307667,284.708991587162,292.2286714017391,287.57581973075867,280.3524214923382,330.55093744397163,332.86985033750534,339.64927130937576,355.7475336790085,347.2549777626991,341.081089168787,295.3530269265175,291.70439237356186,291.71664023399353,296.0082414150238,302.5876600444317,311.7597726881504,321.5344708561897,322.9579853415489,322.73199850320816,315.83550149202347,308.4912822544575,303.0513136982918,301.2413469851017,294.9321179986,300.040059030056,307.13961267471313,314.7672210037708,319.04336655139923,313.43746864795685,306.8865823149681,212.95533442497253,243.0870743393898,273.38567984104156,300.7408357858658,319.5851447582245,335.5975989103317,349.73330122232437,357.28205198049545,355.96697294712067,348.4452500939369,335.304504096508,315.7755061984062,295.59397745132446,271.60491621494293,242.06714218854904,211.7980891764164,182.8786763548851,172.00206416845322,166.5129153728485,171.94123113155365,177.43259400129318,181.46336996555328,157.27830916643143,148.20908349752426,141.7504402399063,136.92788976430893,143.63530585169792,174.69215074181557,191.89755883812904,210.2641813158989,230.12909746170044,254.9841586947441,257.0995445251465,256.74280858039856,252.7187963426113,249.98267322778702,187.09787812829018,180.8679730296135,180.19316643476486,184.83805096149445,186.91344845294952,188.3531636595726,172.89004290103912,162.02312403917313,158.26084506511688,159.50550574064255,162.8737605214119,167.72335240244865,295.29637348651886,287.64480328559875,280.1908257007599,280.39306247234344,275.34416341781616,281.011734187603,289.6844515800476,302.1177738904953,307.5130675435066,310.07575035095215,309.9884294271469,307.1323007941246,296.308313369751,299.49517607688904,298.3196647167206,295.07453405857086,293.79126209020615,283.7006732225418,288.25407868623734,288.16103357076645,0.3465246000597502,0.17106596439290098,0.5357462224293211,0.1549173993823748,0.25728915639287536,0.5560610359257053,0.4453558937040832,0.36677957361415015,0.37921505610544065,0.16940662414624116,0.40544897118391204,0.4812521014553108,0.4734095649214189,0.12977806849469237,0.30513705856161466,0.5437816917543801,0.3526001732716092,0.2126938927913039,0.21234987969845556,0.19937915258889236,0.009027591906487942,0.040015388280153275,0.5035498738288879,0.01846306398510933,0.14915606379508972,0.2578740119934082,0.021913981065154076,/Users/suhwan/Dropbox/github/experiment/SEP_data_repo/behave_task/MR_cam/fMRI_FACE_TEST_210707_Suhwan_SESS01_RUN01.mp4
